"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2025,"May 22, 2025","Regular season","Atlanta Dream","Indiana Fever","State Farm Arena","Atlanta","GA",17044
2025,"May 24, 2025","Regular season","Atlanta Dream","Dallas Wings","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"May 25, 2025","Regular season","Atlanta Dream","Connecticut Sun","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"June 10, 2025","Regular season","Atlanta Dream","Indiana Fever","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"June 13, 2025","Regular season","Atlanta Dream","Chicago Sky","Gateway Center Arena @ College Park","Atlanta","GA",3296
2025,"June 20, 2025","Regular season","Atlanta Dream","Washington Mystics","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"June 22, 2025","Regular season","Atlanta Dream","Chicago Sky","Gateway Center Arena @ College Park","Atlanta","GA",3283
2025,"June 27, 2025","Regular season","Atlanta Dream","Minnesota Lynx","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"June 29, 2025","Regular season","Atlanta Dream","New York Liberty","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"July 3, 2025","Regular season","Atlanta Dream","Seattle Storm","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"July 7, 2025","Regular season","Atlanta Dream","Golden State Valkyries","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"July 29, 2025","Regular season","Atlanta Dream","Golden State Valkyries","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"August 1, 2025","Regular season","Atlanta Dream","Phoenix Mercury","Gateway Center Arena @ College Park","Atlanta","GA",3283
2025,"August 3, 2025","Regular season","Atlanta Dream","Washington Mystics","Gateway Center Arena @ College Park","Atlanta","GA",3315
2025,"August 15, 2025","Regular season","Atlanta Dream","Seattle Storm","Rogers Arena","Vancouver","BC",15892
2025,"August 21, 2025","Regular season","Atlanta Dream","Minnesota Lynx","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"August 23, 2025","Regular season","Atlanta Dream","New York Liberty","Gateway Center Arena @ College Park","Atlanta","GA",3305
2025,"August 27, 2025","Regular season","Atlanta Dream","Las Vegas Aces","Gateway Center Arena @ College Park","Atlanta","GA",3326
2025,"August 29, 2025","Regular season","Atlanta Dream","Dallas Wings","Gateway Center Arena @ College Park","Atlanta","GA",3268
2025,"September 3, 2025","Regular season","Atlanta Dream","Los Angeles Sparks","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"September 5, 2025","Regular season","Atlanta Dream","Los Angeles Sparks","Gateway Center Arena @ College Park","Atlanta","GA",3314
2025,"September 8, 2025","Regular season","Atlanta Dream","Connecticut Sun","Gateway Center Arena @ College Park","Atlanta","GA",3319
